Processes: 388 total, 4 running, 384 sleeping, 1497 threads 
2019/01/17 15:08:14
Load Avg: 2.87, 2.74, 2.66 
CPU usage: 42.14% user, 19.28% sys, 38.57% idle 
SharedLibs: 250M resident, 64M data, 69M linkedit.
MemRegions: 91607 total, 4912M resident, 202M private, 1082M shared.
PhysMem: 10G used (1556M wired), 1596M unused.
VM: 2565G vsize, 1113M framework vsize, 122878(0) swapins, 207342(0) swapouts.
Networks: packets: 4415501/4137M in, 2541678/316M out.
Disks: 3008177/501G read, 5218720/493G written.

PID    COMMAND          %CPU TIME     #TH   #WQ #PORTS MEM    PURG   CMPRS  PGRP  PPID  STATE    BOOSTS       %CPU_ME %CPU_OTHRS UID        FAULTS   COW     MSGSENT    MSGRECV   SYSBSD     SYSMACH    CSW        PAGEINS IDLEW    POWER INSTRS CYCLES USER               #MREGS RPRVT VPRVT VSIZE KPRVT KSHRD
18645  java             0.0  01:23.19 17    1   71+    788K+  0B     10M+   2604  2604  sleeping *0[1+]       0.00000 0.00000    2023764136 7978+    378+    8946+      8786+     7999372+   43249+     4064758+   209+    50332    0.0   0      0      vaibhav.d          N/A    N/A   N/A   N/A   N/A   N/A  
14351  com.apple.prefer 0.0  00:16.49 3     1   255+   8340K+ 28K+   9164K+ 14351 1     sleeping *0[2163+]    0.00000 0.00000    2023764136 78496+   443+    671574+    277695+   261159+    748599+    214363+    150+    2862     0.0   0      0      vaibhav.d          N/A    N/A   N/A   N/A   N/A   N/A  
14345  System Preferenc 0.0  00:04.85 3     1   231+   9344K+ 12K+   12M+   14345 1     sleeping *0[1860+]    0.00000 0.00000    2023764136 24393+   479+    60687+     14852+    129712+    180699+    119686+    336+    1529     0.0   0      0      vaibhav.d          N/A    N/A   N/A   N/A   N/A   N/A  
14343  ssh-agent        0.0  00:00.01 1     0   19+    144K+  0B     612K+  14343 1     sleeping *0[1+]       0.00000 0.00000    2023764136 1449+    158+    89+        27+       433+       194+       54+        10+     0        0.0   0      0      vaibhav.d          N/A    N/A   N/A   N/A   N/A   N/A  
13782  com.apple.WebKit 0.0  09:32.10 7     1   171+   15M+   0B     3708K+ 13782 1     sleeping *0[11344+]   0.00000 0.00000    2023764136 96990+   568+    80720+     43301+    357989+    118693956+ 654177+    56+     2031     0.0   0      0      vaibhav.d          N/A    N/A   N/A   N/A   N/A   N/A  
12456  com.apple.appkit 0.0  00:10.44 3     1   273+   20M+   40K+   8280K+ 12456 1     sleeping *0[2483+]    0.00000 0.00000    2023764136 52873+   638+    96586+     30398+    191098+    258350+    138833+    71+     1620     0.0   0      0      vaibhav.d          N/A    N/A   N/A   N/A   N/A   N/A  
11340  Calendar         0.0  00:28.53 3     1   281+   31M+   180K+  16M+   11340 1     sleeping *0[2032+]    0.00000 0.00000    2023764136 135245+  1181+   181242+    43213+    247672+    483499+    245002+    521+    2547     0.0   0      0      vaibhav.d          N/A    N/A   N/A   N/A   N/A   N/A  
11231  bash             0.0  00:00.29 1     0   19+    612K+  0B     168K+  11231 11230 sleeping *0[1+]       0.00000 0.00000    2023764136 3216+    1596+   147+       63+       37761+     181+       749+       0       0        0.0   0      0      vaibhav.d          N/A    N/A   N/A   N/A   N/A   N/A  
11230  login            0.0  00:00.02 2     1   30+    1060K+ 0B     0B     11230 1409  sleeping *0[9+]       0.00000 0.00000    0          1667+    203+    128+       30+       1216+      261+       85+        0       1        0.0   0      0      root               N/A    N/A   N/A   N/A   N/A   N/A  
10825  bash             0.0  00:00.02 1     0   19+    768K+  0B     0B     10825 10824 sleeping *0[1+]       0.00000 0.00000    2023764136 978+     324+    83+        31+       1896+      149+       162+       0       0        0.0   0      0      vaibhav.d          N/A    N/A   N/A   N/A   N/A   N/A  
10824  login            0.0  00:00.02 2     1   30+    1148K+ 0B     0B     10824 1409  sleeping *0[9+]       0.00000 0.00000    0          1688+    206+    128+       30+       1815+      263+       71+        0       3        0.0   0      0      root               N/A    N/A   N/A   N/A   N/A   N/A  
8409   SafariNotificati 0.0  00:06.23 5     2   74+    3244K+ 0B     3180K+ 8409  1     sleeping *0[1+]       0.00000 0.00000    2023764136 53944+   307+    5093+      21320+    346292+    37895+     219377+    22+     7913     0.0   0      0      vaibhav.d          N/A    N/A   N/A   N/A   N/A   N/A  
8186-  crash-catcher    0.0  00:01.07 2     1   36+    1504K+ 0B     40K+   8186  8185  sleeping *0[1+]       0.00000 0.00000    2023764136 1334+    217+    11595+     11534+    34935+     56628+     27019+     3+      32       0.0   0      0      vaibhav.d          N/A    N/A   N/A   N/A   N/A   N/A  
8185-  TextWrangler     0.0  00:50.05 3     1   231+   46M+   128K+  6184K+ 8185  1     sleeping *0[2660+]    0.00000 0.00000    2023764136 118645+  1727+   538781+    95567+    299652+    2076526+   636493+    4549+   19394    0.0   0      0      vaibhav.d          N/A    N/A   N/A   N/A   N/A   N/A  
8184   Notes            0.0  00:10.61 4     2   270+   24M+   88K+   2096K+ 8184  1     sleeping *0[1857+]    0.00000 0.00000    2023764136 79044+   681+    89588+     23278+    259217+    262263+    189078+    168+    4586     0.0   0      0      vaibhav.d          N/A    N/A   N/A   N/A   N/A   N/A  
8179   syspolicyd       0.0  00:02.37 2     1   71+    8240K+ 84K+   448K+  8179  1     sleeping *0[932+]     0.00000 0.00000    0          11500+   235+    4477+      12551+    95787+     26316+     29178+     1+      43       0.0   0      0      root               N/A    N/A   N/A   N/A   N/A   N/A  
8062   QuickLookUIServi 0.0  00:04.42 3     1   193+   14M+   332K+  4208K+ 8062  1     sleeping *0[2384+]    0.00000 0.00000    2023764136 26294+   364+    61674+     16749+    141816+    202224+    125702+    58+     2258     0.0   0      0      vaibhav.d          N/A    N/A   N/A   N/A   N/A   N/A  
